Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1.0,6262.0,Wedderburn College,Pri/Sec,O,15-29 Hospital Street,,Wedderburn,VIC,3518.0,P O Box 20,,WEDDERBURN,VIC,3518.0,03 5494 3011,394.0,Loddon (S),143.61877,-36.41702
Government,1.0,6359.0,Victorian School Of Languages,Pri/Sec,O,315 Clarendon Street,,Thornbury,VIC,3071.0,P O Box 1172,,THORNBURY,VIC,3071.0,03 9474 0500,189.0,Darebin (C),145.02583,-37.76195
Government,1.0,6363.0,Avenues Education,Special,O,Level 2 999 Nepean Highway,,Moorabbin,VIC,3189.0,Level 2  999 Nepean Highway,,MOORABBIN,VIC,3189.0,03 8552 0588,343.0,Kingston (C),145.03628,-37.93458
Government,1.0,6364.0,Monash Children's Hospital School,Special,O,246 Clayton Road,,Clayton,VIC,3168.0,246 Clayton Road,,Clayton,VIC,3168.0,03 8572 3100,497.0,Monash (C),145.12425,-37.91938
Government,1.0,6368.0,Katandra Berendale Special School (interim name),Special,O,2 Berend Street,,Hampton East,VIC,3188.0,2 Berend Street,,Hampton East,VIC,3188.0,03 9555 6141,91.0,Bayside (C),145.03181,-37.93896
Government,1.0,7028.0,Mount Erin Secondary College,Secondary,O,43 Robinsons Road,,Frankston South,VIC,3199.0,43 Robinsons Road,,FRANKSTON SOUTH,VIC,3199.0,03 5971 6000,217.0,Frankston (C),145.14663,-38.17412
Government,1.0,7050.0,Box Hill Senior Secondary College,Secondary,O,Dunloe Avenue,,Mont Albert North,VIC,3129.0,DUNLOE AVENUE,,MONT ALBERT NORTH,VIC,3129.0,03 9890 0571,698.0,Whitehorse (C),145.11191,-37.80924
Government,1.0,7081.0,Edgars Creek Secondary College,Secondary,O,2 Steen Avenue,,Wollert,VIC,3750.0,Macedon Pde and Edgars Rd,,Wollert,VIC,3750.0,03 9134 8200,707.0,Whittlesea (C),145.00507,-37.60949
Government,1.0,7082.0,Elevation Secondary College,Secondary,O,199 Elevation Boulevard,,Craigieburn,VIC,3064.0,PO Box 690,,Craigieburn,VIC,3064.0,03 8339 8000,327.0,Hume (C),144.89025,-37.59829
Government,1.0,7086.0,Clyde Secondary College,Secondary,O,21 Fernlea Homestead Road,,Clyde,VIC,3978.0,21 Fernlea Homestead Road,,Clyde,VIC,3978.0,03 8560 0600,161.0,Casey (C),145.33886,-38.12955
Government,1.0,7088.0,Cobden Technical School,Secondary,O,Mckenzie Street,,Cobden,VIC,3266.0,P O Box 106,,COBDEN,VIC,3266.0,03 5595 1202,183.0,Corangamite (S),143.06361,-38.32404
Government,1.0,7108.0,Lyndhurst Secondary College,Secondary,O,950 South Gippsland Highway,,Cranbourne,VIC,3977.0,P O Box 711,,CRANBOURNE,VIC,3977.0,03 5996 0144,161.0,Casey (C),145.27103,-38.07539
Government,1.0,7115.0,Daylesford Secondary College,Secondary,O,39 Smith Street,,Daylesford,VIC,3460.0,P O Box 349,,DAYLESFORD,VIC,3460.0,03 5348 2367,291.0,Hepburn (S),144.15185,-37.33467
Government,1.0,7122.0,Dromana Secondary College,Secondary,O,110 Harrisons Road,,Dromana,VIC,3936.0,110 Harrisons Road,,DROMANA,VIC,3936.0,03 5987 2805,534.0,Mornington Peninsula (S),145.01358,-38.34264
Government,1.0,7183.0,Grovedale College,Secondary,O,19 Wingarra Drive,,Grovedale,VIC,3216.0,19 Wingarra Drive,,GROVEDALE,VIC,3216.0,03 5245 4545,275.0,Greater Geelong (C),144.32744,-38.2104
Government,1.0,7198.0,Irymple Secondary College,Secondary,O,975 - 1011  Karadoc Ave,,Irymple,VIC,3498.0,975 - 1011  Karadoc Ave,,IRYMPLE,VIC,3498.0,03 5024 5407,478.0,Mildura (RC),142.1647,-34.23233
Government,1.0,7205.0,Crusoe 7-10 Secondary College,Secondary,O,57 - 75 Olympic Parade,,Kangaroo Flat,VIC,3555.0,"P O Box 1167,",,KANGAROO FLAT,VIC,3555.0,03 5447 7722,262.0,Greater Bendigo (C),144.23367,-36.78865
Government,1.0,7217.0,Peter Lalor Secondary College,Secondary,O,35 Duncan Road,,Lalor,VIC,3075.0,P O Box 1250,,EPPING,VIC,3076.0,03 9464 0122,707.0,Whittlesea (C),145.01316,-37.66691
Government,1.0,7219.0,Lilydale Heights College,Secondary,O,17-19 Nelson Road,,Lilydale,VIC,3140.0,17-19 Nelson Road,,Lilydale,VIC,3140.0,03 9735 1133,745.0,Yarra Ranges (S),145.34141,-37.74582
Government,1.0,7247.0,Staughton College,Secondary,O,Wilson Road,,Melton South,VIC,3338.0,P O Box 2344,,MELTON SOUTH,VIC,3338.0,03 9743 4622,465.0,Melton (C),144.56869,-37.70836
Government,1.0,7250.0,Chaffey Secondary College,Secondary,O,261-289 Deakin Avenue,,Mildura,VIC,3500.0,P O Box 1610,,MILDURA,VIC,3502.0,03 5023 0538,478.0,Mildura (RC),142.14798,-34.19573
Government,1.0,7255.0,Bentleigh Secondary College,Secondary,O,4 Vivien St,,Bentleigh East,VIC,3165.0,P O Box 186,,BENTLEIGH EAST,VIC,3165.0,03 9579 1044,231.0,Glen Eira (C),145.0598,-37.92736
Government,1.0,7267.0,Mount Clear College,Secondary,O,59 Olympic Avenue,,Mount Clear,VIC,3353.0,59 Olympic Avenue,,BALLARAT,VIC,3350.0,03 5330 1500,57.0,Ballarat (C),143.87667,-37.60796
Government,1.0,7275.0,Rosehill Secondary College,Secondary,O,33 Sapphire Street,,Niddrie,VIC,3042.0,33 Sapphire Street,,NIDDRIE,VIC,3042.0,03 9337 2488,506.0,Moonee Valley (C),144.88618,-37.74668
Government,1.0,7300.0,Northern College of the Arts and Technology,Secondary,O,62 Murray Road,,Preston,VIC,3072.0,P O Box 8041,,NORTHLAND,VIC,3072.0,03 9478 1333,189.0,Darebin (C),145.02537,-37.74007
Government,1.0,7366.0,Swinburne Senior Secondary College,Secondary,O,505 Burwood Road,,Hawthorn,VIC,3122.0,505 Burwood Rd,,HAWTHORN,VIC,3122.0,03 8862 4400,111.0,Boroondara (C),145.04082,-37.82314
Government,1.0,7384.0,Victorian College Of The Arts Secondary School,Secondary,O,57 Miles Street,,Southbank,VIC,3006.0,57 Miles Street,,SOUTHBANK,VIC,3006.0,03 8644 8644,460.0,Melbourne (C),144.96477,-37.82823
Government,1.0,7395.0,Brauer Secondary College,Secondary,O,Caramut Road,,Warrnambool,VIC,3280.0,P O Box 676,,Warrnambool,VIC,3280.0,03 5560 3888,673.0,Warrnambool (C),142.45892,-38.35871
Government,1.0,7402.0,Wyndham Central Secondary College,Secondary,O,101 Shaws Road,,Werribee,VIC,3030.0,P O Box 304,,WERRIBEE,VIC,3030.0,03 9741 4911,726.0,Wyndham (C),144.65385,-37.88893
Government,1.0,7405.0,Weeroona College Bendigo,Secondary,O,383 Napier Street,,Bendigo,VIC,3550.0,P O Box 566,,BENDIGO,VIC,3552.0,03 5443 2133,262.0,Greater Bendigo (C),144.29798,-36.73893
Government,1.0,7408.0,Whittlesea Secondary College,Secondary,O,55 Laurel Street,,Whittlesea,VIC,3757.0,PO Box 54,,WHITTLESEA,VIC,3757.0,03 9719 1200,707.0,Whittlesea (C),145.12018,-37.51505
Government,1.0,7505.0,Alexandra Secondary College,Secondary,O,Downey Street,,Alexandra,VIC,3714.0,Private Bag 1,,ALEXANDRA,VIC,3714.0,03 5770 2000,562.0,Murrindindi (S),145.70148,-37.19449
Government,1.0,7526.0,Auburn High School,Secondary,O,26 Burgess Street,,Hawthorn East,VIC,3123.0,26 Burgess Street,,Hawthorn East,VIC,3123.0,03 9822 3247,111.0,Boroondara (C),145.04507,-37.83988
Government,1.0,7540.0,Ballarat High School,Secondary,O,1726 Sturt Street,,LAKE GARDENS,VIC,3355.0,1726 Sturt Street,,LAKE GARDENS,VIC,3355.0,03 5338 9000,57.0,Ballarat (C),143.81821,-37.55452
Government,1.0,7550.0,Balwyn High School,Secondary,O,Buchanan Avenue,,Balwyn North,VIC,3104.0,Buchanan Avenue,,BALWYN NORTH,VIC,3104.0,03 9819 7911,111.0,Boroondara (C),145.07677,-37.79786
Government,1.0,7560.0,Bayswater Secondary College,Secondary,O,14 Orchard Road,,Bayswater,VIC,3153.0,P O Box 535,,BAYSWATER,VIC,3153.0,03 8720 7555,367.0,Knox (C),145.262,-37.83903
Government,1.0,7565.0,Beaufort Secondary College,Secondary,O,1/37 Park Road,,Beaufort,VIC,3373.0,P O Box 38,,Beaufort,VIC,3373.0,03 5349 2305,599.0,Pyrenees (S),143.38249,-37.43884
Government,1.0,7566.0,Beaumaris Secondary College,Secondary,O,117 - 136 Reserve Road,,Beaumaris,VIC,3193.0,P O BOX 7079,,Beaumaris,VIC,3193.0,03 8569 9200,91.0,Bayside (C),145.03408,-37.9784
Government,1.0,7575.0,Beechworth Secondary College,Secondary,O,85 Balaclava Road,,Beechworth,VIC,3747.0,P O Box 21,,Beechworth,VIC,3747.0,03 5728 1264,335.0,Indigo (S),146.69076,-36.34722
Government,1.0,7585.0,Belmont High School,Secondary,O,12-36 Rotherham Street,,Belmont,VIC,3216.0,12-36 Rotherham Street,,BELMONT,VIC,3216.0,03 5243 5355,275.0,Greater Geelong (C),144.33056,-38.17565
Government,1.0,7595.0,Bendigo Senior Secondary College,Secondary,O,40 Gaol Road,,Bendigo,VIC,3550.0,P O Box 545,,BENDIGO,VIC,3552.0,03 5443 1222,262.0,Greater Bendigo (C),144.27928,-36.7553
Government,1.0,7603.0,Berwick Secondary College,Secondary,O,Manuka Road,,Berwick,VIC,3806.0,MANUKA ROAD,,BERWICK,VIC,3806.0,03 8768 1000,161.0,Casey (C),145.36544,-38.0314
Government,1.0,7610.0,Blackburn High School,Secondary,O,60 Springfield Road,,Blackburn,VIC,3130.0,60 Springfield Road,,BLACKBURN,VIC,3130.0,03 8804 6464,698.0,Whitehorse (C),145.14989,-37.81037
Government,1.0,7618.0,Outdoor School,Pri/Sec,O,1 Black Possum Road,,Bogong,VIC,3699.0,1 Black Possum Road,,BOGONG,VIC,3699.0,03 5754 1732,11.0,Alpine (S),147.22537,-36.80408
Government,1.0,7635.0,Box Hill High School,Secondary,O,1180 Whitehorse Road,,Box Hill,VIC,3128.0,1180 Whitehorse Road,,BOX HILL,VIC,3128.0,03 9877 1177,698.0,Whitehorse (C),145.13721,-37.82
Government,1.0,7645.0,Braybrook College,Secondary,O,352 Ballarat Road,,Braybrook,VIC,3019.0,352 Ballarat Road,,BRAYBROOK,VIC,3019.0,03 9312 2900,433.0,Maribyrnong (C),144.84754,-37.77826
Government,1.0,7647.0,Brentwood Secondary College,Secondary,O,65-71 Watsons Road,,Glen Waverley,VIC,3150.0,65-71 Watsons Road,,GLEN WAVERLEY,VIC,3150.0,03 8545 0300,497.0,Monash (C),145.16634,-37.89951
Government,1.0,7650.0,Brighton Secondary College,Secondary,O,120 Marriage Road,,Brighton East,VIC,3187.0,120 Marriage Road,,BRIGHTON EAST,VIC,3187.0,03 9592 7488,91.0,Bayside (C),145.01912,-37.92016
Government,1.0,7655.0,Broadford Secondary College,Secondary,O,2-12 Pinniger Street,,Broadford,VIC,3658.0,P O Box 108,,BROADFORD,VIC,3658.0,03 5784 1200,485.0,Mitchell (S),145.04003,-37.20438
Government,1.0,7670.0,Buckley Park College,Secondary,O,59-99 Cooper Street,,Essendon,VIC,3040.0,59-99 Cooper Street,,ESSENDON,VIC,3040.0,03 9331 9999,506.0,Moonee Valley (C),144.89775,-37.74712
Government,1.0,7680.0,Camberwell High School,Secondary,O,Prospect Hill Road,,Canterbury,VIC,3126.0,Prospect Hill Road,,CANTERBURY,VIC,3126.0,03 9836 0555,111.0,Boroondara (C),145.07282,-37.83015
Government,1.0,7690.0,Canterbury Girls Secondary College,Secondary,O,16 Mangarra Road,,Canterbury,VIC,3126.0,16 Mangarra Road,,CANTERBURY,VIC,3126.0,03 9830 5099,111.0,Boroondara (C),145.0691,-37.82029
Government,1.0,7695.0,Casterton Secondary College,Secondary,O,27 Mt Gambier Road,,Casterton,VIC,3311.0,27 Mt.Gambier Road,,CASTERTON,VIC,3311.0,03 5581 1588,241.0,Glenelg (S),141.38749,-37.5888
Government,1.0,7720.0,Cheltenham Secondary College,Secondary,O,73-75 Bernard Street,,Cheltenham,VIC,3192.0,P O Box 109,,MOORABBIN,VIC,3189.0,03 9555 5955,343.0,Kingston (C),145.06868,-37.95376
Government,1.0,7725.0,Cobram Secondary College,Secondary,O,25-47 Warkil Street,,Cobram,VIC,3644.0,P O Box 387,,COBRAM,VIC,3644.0,03 5871 1700,490.0,Moira (S),145.65412,-35.9136
Government,1.0,7735.0,Cohuna Secondary College,Secondary,O,6415 Murray Valley Highway,,Cohuna,VIC,3568.0,P O Box 273,,COHUNA,VIC,3568.0,03 5456 2555,225.0,Gannawarra (S),144.22642,-35.8135
Government,1.0,7747.0,Cranbourne Secondary College,Secondary,O,Stawell Street,,Cranbourne,VIC,3977.0,Stawell Street,,CRANBOURNE,VIC,3977.0,03 5996 3544,161.0,Casey (C),145.28614,-38.10759
Government,1.0,7748.0,Cranbourne West Secondary College,Secondary,O,80 Strathlea Drive,,Cranbourne West,VIC,3977.0,80 Strathlea Drive,,Cranbourne West,VIC,3977.0,03 9770 7200,161.0,Casey (C),145.24651,-38.10672
Government,1.0,7757.0,Croydon Community School,Secondary,O,61-77 Croydon Road,,Croydon,VIC,3136.0,P O Box 239,,Croydon,VIC,3136.0,03 9724 2900,441.0,Maroondah (C),145.28126,-37.78935
Government,1.0,7763.0,Mount Alexander 7-12 College,Secondary,O,78 Wellington Street,,Flemington,VIC,3031.0,78 Wellington Street,,FLEMINGTON,VIC,3031.0,03 9376 1622,506.0,Moonee Valley (C),144.93324,-37.78215
Government,1.0,7770.0,Dimboola Memorial Secondary College,Secondary,O,66 Ellerman Street,,Dimboola,VIC,3414.0,P O Box 40,,DIMBOOLA,VIC,3414.0,03 5389 1460,298.0,Hindmarsh (S),142.03441,-36.44984
Government,1.0,7773.0,East Doncaster Secondary College,Secondary,O,20 George Street,,Doncaster East,VIC,3109.0,20 George Street,,DONCASTER EAST,VIC,3109.0,03 9842 2244,421.0,Manningham (C),145.15856,-37.78213
Government,1.0,7775.0,Donald High School,Secondary,O,2-16 Camp Street,,Donald,VIC,3480.0,P O Box 138,,DONALD,VIC,3480.0,03 5497 1205,127.0,Buloke (S),142.97396,-36.37078
Government,1.0,7776.0,Doncaster Secondary College,Secondary,O,123 Church Road,,Doncaster,VIC,3108.0,123 CHURCH ROAD,,DONCASTER,VIC,3108.0,03 9848 4677,421.0,Manningham (C),145.13805,-37.78458
Government,1.0,7785.0,Drouin Secondary College,Secondary,O,South Road,,Drouin,VIC,3818.0,P O BOX 338,,DROUIN,VIC,3818.0,03 5625 1002,83.0,Baw Baw (S),145.85098,-38.14466
Government,1.0,7790.0,Eaglehawk Secondary College,Secondary,O,1-3 Reserve Street,,Eaglehawk,VIC,3556.0,P O Box 146,,EAGLEHAWK,VIC,3556.0,03 5446 8099,262.0,Greater Bendigo (C),144.26163,-36.72006
